,SO2,CO,NO,NO2,PM25,PM10,NOx,O3,TOL,BEN,EBE,TCH,CH4,NMHC
04 - Pza. de España,x,x,x,x,,,x,,,,,,,
08 - Escuelas Aguirre,x,x,x,x,x,x,x,x,x,x,x,x,x,x
11 - Avda. Ramón y Cajal,,,x,x,,,x,,x,x,x,,,
16 - Arturo Soria,,x,x,x,,,x,x,,,,,,
17 - Villaverde,x,,x,x,,,x,x,,,,,,
18 - Farolillo,x,x,x,x,,x,x,x,x,x,x,,,
24 - Casa de Campo,x,x,x,x,x,x,x,x,x,x,x,x,x,x
27 - Barajas Pueblo,,,x,x,,,x,x,,,,x,x,x
35 - Pza. del Carmen,x,x,x,x,,,x,x,,,,,,
36 - Moratalaz,x,x,x,x,,x,x,,,,,,,
38 - Cuatro Caminos,x,,x,x,x,x,x,,x,x,x,,,
39 - Barrio del Pilar,,x,x,x,,,x,x,,,,,,
40 - Vallecas,x,,x,x,,x,x,,,,,,,
47 - Mendez Alvaro,,,x,x,x,x,x,,,,,,,
48 - Castellana,,,x,x,x,x,x,,,,,,,
49 - Parque del Retiro,,,x,x,,,x,x,,,,,,
50 - Plaza Castilla,,,x,x,x,x,x,,,,,,,
54 - Ensanche de Vallecas,,,x,x,,,x,x,,,,,,
55 - Urb. Embajada,,,x,x,,x,x,,x,x,x,x,x,x
56 - Pza. Elíptica,,x,x,x,x,x,x,x,,,,,,
57 - Sanchinarro,x,x,x,x,,x,x,,,,,,,
58 - El Pardo,,,x,x,,,x,x,,,,,,
59 - Juan Carlos I,,,x,x,,,x,x,,,,,,
60 - Tres Olivos,,,x,x,,x,x,x,,,,,,
